State	population_1990	population_2000	population_2010	population_2020
Alabama	"4,040,389"	"4,447,207"	"4,779,736"	"5,024,279"
Alaska	"550,043"	"626,933"	"710,231"	"733,391"
Arizona	"3,665,339"	"5,130,247"	"6,392,017"	"7,151,502"
Arkansas	"2,350,624"	"2,673,293"	"2,915,918"	"3,011,524"
California	"29,811,427"	"33,871,653"	"37,253,956"	"39,538,223"
Colorado	"3,294,473"	"4,302,086"	"5,029,196"	"5,773,714"
Connecticut	"3,287,116"	"3,405,650"	"3,574,097"	"3,605,944"
Delaware	"666,168"	"783,559"	"897,934"	"989,948"
Florida	"12,938,071"	"15,982,571"	"18,801,310"	"21,538,187"
Georgia	"6,478,149"	"8,186,653"	"9,687,653"	"10,711,908"
Hawaii	"1,108,229"	"1,211,497"	"1,360,301"	"1,455,271"
Idaho	"1,006,734"	"1,293,957"	"1,567,582"	"1,839,106"
Illinois	"11,430,602"	"12,419,927"	"12,830,632"	"12,812,508"
Indiana	"5,544,156"	"6,080,827"	"6,483,802"	"6,785,528"
Iowa	"2,776,831"	"2,926,538"	"3,046,355"	"3,190,369"
Kansas	"2,477,588"	"2,688,925"	"2,853,118"	"2,937,880"
Kentucky	"3,686,892"	"4,042,193"	"4,339,367"	"4,505,836"
Louisiana	"4,221,826"	"4,469,035"	"4,533,372"	"4,657,757"
Maine	"1,227,928"	"1,274,779"	"1,328,361"	"1,362,359"
Maryland	"4,780,753"	"5,296,647"	"5,773,552"	"6,177,224"
Massachusetts	"6,016,425"	"6,349,364"	"6,547,629"	"7,029,917"
Michigan	"9,295,287"	"9,938,823"	"9,883,640"	"10,077,331"
Minnesota	"4,375,665"	"4,919,631"	"5,303,925"	"5,706,494"
Mississippi	"2,575,475"	"2,844,754"	"2,967,297"	"2,961,279"
Missouri	"5,116,901"	"5,596,564"	"5,988,927"	"6,154,913"
Montana	"799,065"	"902,200"	"989,415"	"1,084,225"
Nebraska	"1,578,417"	"1,711,230"	"1,826,341"	"1,961,504"
Nevada	"1,201,675"	"1,998,250"	"2,700,551"	"3,104,614"
New Hampshire	"1,109,252"	"1,235,807"	"1,316,470"	"1,377,529"
New Jersey	"7,747,750"	"8,414,764"	"8,791,894"	"9,288,994"
New Mexico	"1,515,069"	"1,819,017"	"2,059,179"	"2,117,522"
New York	"17,990,778"	"18,977,026"	"19,378,102"	"20,201,249"
North Carolina	"6,632,448"	"8,046,346"	"9,535,483"	"10,439,388"
North Dakota	"638,800"	"642,237"	"672,591"	"779,094"
Ohio	"10,847,115"	"11,353,336"	"11,536,504"	"11,799,448"
Oklahoma	"3,145,576"	"3,450,451"	"3,751,351"	"3,959,353"
Oregon	"2,842,337"	"3,421,524"	"3,831,074"	"4,237,256"
Pennsylvania	"11,882,842"	"12,280,548"	"12,702,379"	"13,002,700"
Rhode Island	"1,003,464"	"1,048,259"	"1,052,567"	"1,097,379"
South Carolina	"3,486,310"	"4,012,023"	"4,625,364"	"5,118,425"
South Dakota	"696,004"	"754,858"	"814,180"	"886,667"
Tennessee	"4,877,203"	"5,689,427"	"6,346,105"	"6,910,840"
Texas	"16,986,335"	"20,851,028"	"25,145,561"	"29,145,505"
Utah	"1,722,850"	"2,233,183"	"2,763,885"	"3,271,616"
Vermont	"562,758"	"608,613"	"625,741"	"643,077"
Virginia	"6,189,197"	"7,079,057"	"8,001,024"	"8,631,393"
Washington	"4,866,669"	"5,894,281"	"6,724,540"	"7,705,281"
West Virginia	"1,793,477"	"1,808,193"	"1,852,994"	"1,793,716"
Wisconsin	"4,891,954"	"5,363,757"	"5,686,986"	"5,893,718"
Wyoming	"453,589"	"493,786"	"563,626"	"576,851"
